stationId,polluant,valeur,date,heure
99,"PM",6,"2024-09-27",3
103,"O3",9,"2024-09-27",3
103,"NO2",2,"2024-09-27",3
103,"PM",8,"2024-09-27",3
55,"NO2",1,"2024-09-27",11
55,"PM",5,"2024-09-27",11
55,"O3",11,"2024-09-27",3
66,"O3",12,"2024-09-27",11
66,"NO2",1,"2024-09-27",11
66,"PM",4,"2024-09-27",11
80,"SO2",1,"2024-09-27",11
80,"O3",10,"2024-09-27",11
80,"NO2",2,"2024-09-27",11
80,"PM",6,"2024-09-27",11
99,"O3",12,"2024-09-27",11
99,"NO2",1,"2024-09-27",11
99,"PM",4,"2024-09-27",11
103,"O3",9,"2024-09-27",11
103,"NO2",2,"2024-09-27",11
103,"PM",8,"2024-09-27",11
3,"O3",11,"2024-09-27",11
17,"NO2",1,"2024-09-27",12
17,"PM",5,"2024-09-27",12
28,"CO",1,"2024-09-27",12
28,"O3",8,"2024-09-27",12
28,"NO2",3,"2024-09-27",12
28,"PM",8,"2024-09-27",12
31,"SO2",0,"2024-09-27",12
31,"CO",1,"2024-09-27",12
31,"O3",11,"2024-09-27",12
31,"NO2",1,"2024-09-27",12
31,"PM",5,"2024-09-27",12
50,"PM",5,"2024-09-27",12
55,"CO",1,"2024-09-27",12
55,"O3",11,"2024-09-27",12
55,"NO2",1,"2024-09-27",12
55,"PM",4,"2024-09-27",12
66,"O3",12,"2024-09-27",12
66,"NO2",1,"2024-09-27",12
66,"PM",3,"2024-09-27",12
80,"SO2",1,"2024-09-27",12
80,"O3",10,"2024-09-27",12
80,"NO2",2,"2024-09-27",12
80,"PM",5,"2024-09-27",12
99,"O3",13,"2024-09-27",12
99,"NO2",1,"2024-09-27",12
99,"PM",3,"2024-09-27",12
103,"O3",11,"2024-09-27",12
103,"NO2",1,"2024-09-27",12
103,"PM",6,"2024-09-27",12
3,"SO2",1,"2024-09-27",11
3,"NO2",1,"2024-09-27",11
3,"PM",7,"2024-09-27",11
6,"SO2",1,"2024-09-27",11
6,"O3",8,"2024-09-27",11
6,"NO2",2,"2024-09-27",11
6,"PM",6,"2024-09-27",11
17,"O3",9,"2024-09-27",11
17,"NO2",2,"2024-09-27",11
17,"PM",6,"2024-09-27",11
28,"CO",1,"2024-09-27",11
28,"O3",7,"2024-09-27",11
28,"NO2",2,"2024-09-27",11
28,"PM",9,"2024-09-27",11
31,"SO2",0,"2024-09-27",11
31,"CO",1,"2024-09-27",11
31,"O3",10,"2024-09-27",11
31,"NO2",1,"2024-09-27",11
31,"PM",6,"2024-09-27",11
50,"PM",6,"2024-09-27",11
55,"CO",1,"2024-09-27",11
55,"O3",11,"2024-09-27",11
99,"O3",10,"2024-09-27",2
99,"NO2",1,"2024-09-27",2
99,"PM",6,"2024-09-27",2
103,"O3",8,"2024-09-27",2
103,"NO2",2,"2024-09-27",2
103,"PM",9,"2024-09-27",2
3,"SO2",1,"2024-09-27",1
3,"O3",9,"2024-09-27",1
3,"NO2",3,"2024-09-27",1
3,"PM",8,"2024-09-27",1
